trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,12,9.897677848769188,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,0,8.384880864233356,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,17,10.690581529083335,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,0,-12.789503870146518,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",35,5,-33.423717217545615,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",1
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",30,19,16.18323522297485,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,0,-4.1068132975509855,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,6,-32.86036760709961,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",25,0,-21.85036963367983,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",30,3,1.5873731635541295,"{0: 25, 1: 0, 2: 0, 3: 2, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",30,0,-3.4229924303119077,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,6,12.190625941611279,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",35,24,19.0124446211025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,4,26.23902477412492,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,0,-13.189430251891892,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",30,16,-17.49532735960745,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,10,10.107437440002471,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,21,13.81298323229652,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",30,7,-45.79244297712984,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",30,16,-5.337664013493598,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,7,17.442514934079156,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,1,3.7108407382678728,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,0,19.114024567704867,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,0,19.254016009826046,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",30,14,-4.119818686499679,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",30,0,-25.31347569788997,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",25,17,2.01164438079908,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,0,-14.851678169323286,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,8,19.91940864083182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,0,15.069789567560383,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",25,0,-27.897272621904648,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,8,-31.656715844910373,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,10,10.20198885392052,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
